id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
299,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,9,LAGUNAHA,PARTI TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980771)
300,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,10,LAGUNAHA,POKHARA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980777)
301,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,11,LAGUNAHA,PURVI LAGUNAHA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980799)
302,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,12,POKHARIA KHARAG,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544566)
303,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,13,POKHARIA KHARAG,HARIJA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980806)
304,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,14,POKHARIA KHARAG,JAMUNIA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544567)
305,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,15,POKHARIA KHARAG,MUSHARI TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980811)
306,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,16,POKHARIA KHARAG,NONIA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980815)
307,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,17,POKHARIA KHARAG,PANDAY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544568)
308,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,18,POKHARIA KHARAG,PAWAHIA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980818)
309,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,19,POKHARIA KHARAG,POKHARIA KHARG,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742900)
310,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,20,POKHARIA KHARAG,POKHARIA KHARG,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544569)
311,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,1,BANDIPATTI,BANDIPATTI,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971147)
312,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,2,BANDIPATTI,PASTI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544467)
313,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,3,LACHHMIPUR,BHAIRWA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971148)
314,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,4,LACHHMIPUR,KOWAHA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544468)
315,Pashchim Champaran,Chanpatiya,CHANPATIA,chargaha,5,LACHHMIPUR,LAXMIPUR,Shallow Tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012+//0Awv/9AK0- 13(0004746273)
