"S. No.","State","District","AC","Block","Panchayat","Village","Habitation","Location","Type Of Source","Lab Name","Testing Date","Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*)","Below Permissible Limit (Mandatory*)","Above Permissible Limit (Emerging / Other**)","Below Permissible Limit (Emerging / Other**)"
289,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BHUAL PATTI","P.S. Bhualpatti Kanya / SC150128147","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.74 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
290,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BHUAL PATTI","P.S. Bhualpatti Balak / SC2526771","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.78 Mg/l],pH[7.26 PH],TDS[555.00 Mg/l]",,"Turbidity[3.00 NTU]"
291,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BHUAL PATTI","P.S. Bhualpatti Kanya / SC2526842","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.84 Mg/l],pH[7.28 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
292,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BHUAL PATTI","SC4702574","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.74 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
293,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","INSIDE HABITATION / SC150121634","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
294,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","NEAR DURGA MANDIR / SC150121635","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[415.00 Mg/l]",,"Turbidity[2.00 NTU]"
295,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","U.M.S. Jagiraha / SC150128152","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.86 Mg/l],pH[7.20 PH],TDS[523.00 Mg/l]",,"Turbidity[2.00 NTU]"
296,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","P.S. Bathawa / SC150128168","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.86 Mg/l],pH[7.26 PH],TDS[523.00 Mg/l]",,"Turbidity[2.00 NTU]"
297,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","SC1720321","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
298,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","P.S. Bathawa / SC2524519","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[411.00 Mg/l]",,"Turbidity[2.00 NTU]"
299,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA","U.M.S. Jagiraha / SC2524528","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
300,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA*","INSIDE HABITATION / SC150121659","Deep Tubewell","PASHCHIM CHAMPARAN","08/05/2015",,"Iron[0.21 Mg/l],Fluoride[0.98 Mg/l],pH[7.23 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
301,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA*","CHAMAR TOLI / SC150121660","Deep Tubewell","PASHCHIM CHAMPARAN","08/05/2015",,"Iron[0.22 Mg/l],Fluoride[0.98 Mg/l],pH[7.26 PH],TDS[410.00 Mg/l]",,"Turbidity[3.00 NTU]"
302,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","JAGIRHA*","SC1720326","Shallow Tubewell","PASHCHIM CHAMPARAN","08/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.96 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
303,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","INSIDE HABITATION / SC150121699","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.98 Mg/l],pH[7.23 PH],TDS[415.00 Mg/l]",,"Turbidity[2.00 NTU]"
304,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","NEAR TEMPLE / SC150121700","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.96 Mg/l],pH[7.26 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
305,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","U.M.S. Malahi Tol / SC150128198","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[522.00 Mg/l]",,"Turbidity[3.00 NTU]"
306,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","P.S. Siswania / SC150128211","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.74 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
307,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","SC1720334","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.20 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
308,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","M.S. Koirpatti / SC2524529","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[415.00 Mg/l]",,"Turbidity[3.00 NTU]"
309,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","P.S. Siswania / SC2524652","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
310,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","KOIR PATTI","U.M.S. Malahi Tol / SC2524683","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
311,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MALAHI","INSIDE HABITATION / SC150121714","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.89 Mg/l],pH[7.28 PH],TDS[523.00 Mg/l]",,"Turbidity[2.00 NTU]"
312,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MALAHI","HARIJAN TOLI / SC150121715","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[415.00 Mg/l]",,"Turbidity[3.00 NTU]"
313,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MALAHI","SC1720337","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.26 PH],TDS[447.00 Mg/l]",,"Turbidity[3.00 NTU]"
314,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","SC1720348","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.28 Mg/l],Fluoride[0.88 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
315,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","U.M.S. Moti Tola Thakrahan / SC2524732","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
316,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","P.S. Uma Tola / SC2524758","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
317,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","P.S. Nautan Gurwalia Rupa Tola / SC2524763","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[411.00 Mg/l]",,"Turbidity[3.00 NTU]"
318,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","U.M.S. Nautan Guruwalia Mishra Tola / SC2526071","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.89 Mg/l],pH[7.21 PH],TDS[523.00 Mg/l]",,"Turbidity[1.00 NTU]"
319,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","MOTIPUR","P.S. Bhagwan Pur / SC2526102","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.96 Mg/l],pH[7.23 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
320,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","INSIDE HABITATION / SC150121741","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.21 Mg/l],Fluoride[0.85 Mg/l],pH[7.20 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
321,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","NEAR MASJID / SC150121742","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.86 Mg/l],pH[7.24 PH],TDS[523.00 Mg/l]",,"Turbidity[1.00 NTU]"
322,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","SC1720354","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.86 Mg/l],pH[7.23 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
323,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","M.S. Thakrahan Balak / SC2522124","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.98 Mg/l],pH[7.23 PH],TDS[520.00 Mg/l]",,"Turbidity[3.00 NTU]"
324,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","M.S. Thakrahan Kanya / SC2522125","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.96 Mg/l],pH[7.23 PH],TDS[522.00 Mg/l]",,"Turbidity[3.00 NTU]"
325,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","P.S. Kanwa Patti / SC2524756","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.85 Mg/l],pH[7.24 PH],TDS[523.00 Mg/l]",,"Turbidity[1.00 NTU]"
326,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","THAKRAHA","P.S. Khan Tola Thakrahan / SC2524757","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.86 Mg/l],pH[7.20 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
