S. No,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*,Below Permissible Limit (Mandatory*),Above Permissibl Limit (Emerging / Other**),Below Permissibl Limit (Emerging / Other**)
157,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MOTIHARI,DUSAD TOLA,Nc/Pc Scheme For Bairia Block / SC4448024,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.69 Mg/l],pH[7.20 PH],TDS[395.00 Mg/l]",,Turbidity[2.00 NTU]
158,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MOTIHARI,MOTI RAM TOLA (E),Nc/Pc Scheme For Bairia Block / SC4448025,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.45 Mg/l],pH[7.11 PH],TDS[374.00 Mg/l]",,Turbidity[1.00 NTU]
159,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MOTIHARI,MOTIHARI,Nc/Pc Scheme For Bairia Block / SC4448026,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[396.00 Mg/l]",,Turbidity[2.00 NTU]
160,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,PAT KHAULI,PATKHALI,Nc/Pc Scheme For Bairia Block / SC4448027,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.12 PH],TDS[389.00 Mg/l]",,Turbidity[1.00 NTU]
161,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,PAT KHAULI,ZOLAHA TOLA,Nc/Pc Scheme For Bairia Block / SC4448028,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.69 Mg/l],pH[7.12 PH],TDS[396.00 Mg/l]",,Turbidity[1.00 NTU]
162,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,AHIR TOLA,Nc/Pc Scheme For Bairia Block / SC4448029,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.47 Mg/l],pH[7.12 PH],TDS[358.00 Mg/l]",,Turbidity[1.00 NTU]
163,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,J. C. CHAUDARY KE TOLA EAST,Nc/Pc Scheme For Bairia Block / SC4448030,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.10 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
164,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,J. C. CHAUDARY KE TOLA WEST,Nc/Pc Scheme For Bairia Block / SC4448031,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.12 PH],TDS[356.00 Mg/l]",,Turbidity[2.00 NTU]
165,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,T. CHAK SOUTH TOLA,Nc/Pc Scheme For Bairia Block / SC4448032,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.35 Mg/l],pH[7.22 PH],TDS[386.00 Mg/l]",,Turbidity[1.00 NTU]
166,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,TUMKARIYA TOLA,Inside Habitation / SC150117135,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.66 Mg/l],pH[7.22 PH],TDS[356.00 Mg/l]",,Turbidity[2.00 NTU]
167,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,TOLA TUMKARAIA,TUMKARIYA TOLA,Nc/Pc Scheme For Bairia Block / SC4448033,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.41 Mg/l],pH[7.13 PH],TDS[347.00 Mg/l]",,Turbidity[1.00 NTU]
168,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,BANRAHI,Nc/Pc Scheme For Bairia Block / SC4448034,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.64 Mg/l],pH[7.12 PH],TDS[274.00 Mg/l]",,Turbidity[1.00 NTU]
169,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,BAZAR TOLA,Nc/Pc Scheme For Bairia Block / SC4448035,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.21 Mg/l],Fluoride[0.41 Mg/l],pH[7.02 PH],TDS[341.00 Mg/l]",,Turbidity[1.00 NTU]
170,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,BIN TOLA,SC1715865,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.25 PH],TDS[395.00 Mg/l]",,Turbidity[2.00 NTU]
171,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,UTTARI PATJIRWA,UATRI PATJARWA,BRAM TOLA,Nc/Pc Scheme For Bairia Block / SC4448036,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.87 Mg/l],pH[7.11 PH],TDS[378.00 Mg/l]",,Turbidity[1.00 NTU]
