S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
31,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHABUTRA / SC3624204,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.15 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-363.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
32,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHABUTRA / SC3624204,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.96 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-524.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
33,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHAUK / SC3624205,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.95 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-521.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
34,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR CHAUK / SC3624205,Shallow Tubewell,SAHARSA,01/09/2015,Iron+AFs-1.21 Mg/l+AF0-,+ACI-Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.32 PH+AF0-,TDS+AFs-402.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
35,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR SAMUDAIK / SC3624206,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.14 Mg/l+AF0-,Fluoride+AFs-0.52 Mg/l+AF0-,pH+AFs-6.99 PH+AF0-,TDS+AFs-322.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
36,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR SAMUDAIK / SC3624206,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.27 Mg/l+AF0-,+ACI-Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-521.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
37,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR ROAD / SC3624207,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
38,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR ROAD / SC3624207,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.24 Mg/l+AF0-,Fluoride+AFs-0.62 Mg/l+AF0-,pH+AFs-7.17 PH+AF0-,TDS+AFs-329.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
39,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR ROAD / SC3624234,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.77 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-339.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
40,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR ROAD / SC3624234,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.28 Mg/l+AF0-,+ACI-Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
