id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
102,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,9,JIWACHHPUR,JIBACHH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446390)
103,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,10,JIWACHHPUR,JIBACHH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446390)
104,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,11,JIWACHHPUR,JIBACHH PUR,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446390)
105,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,12,JIWACHHPUR,MANDAL TOLA,Shallow Tubew ell,Ground Water,Chandra Shakher Bahardar.,HandPump,NC/PC(0001965067)
106,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,13,JIWACHHPUR,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965067)
107,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,14,JIWACHHPUR,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965075)
108,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,15,JIWACHHPUR,MANDAL TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965075)
109,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,16,JIWACHHPUR,MANDAL TOLA,Shallow Tubew ell,Ground Water,Deo Neraryan Thakur,HandPump,NC/PC(0001965075)
110,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,17,JIWACHHPUR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446392)
111,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,18,JIWACHHPUR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446392)
112,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,19,JIWACHHPUR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965082)
113,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,20,JIWACHHPUR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001965082)
114,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,21,JIWACHHPUR,MINYAN TOLA,Shallow Tubew ell,Ground Water,Joganand Pasw an,HandPump,NC/PC(0001965082)
115,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,22,JIWACHHPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
116,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,23,JIWACHHPUR,MUSAHARI TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Hand Pump Schems(0002689175)
117,Supaul,Chattapur,CHHATAPUR,BALUA,1,BALUA,BALUA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001433097)
118,Supaul,Chattapur,CHHATAPUR,BALUA,2,BALUA,BALUA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433097)
119,Supaul,Chattapur,CHHATAPUR,BALUA,3,BALUA,BALUA,Deep Tubew ell,Ground Water,Near Mandir,PWS,Balua Bishanpur PWS(0006323262)
120,Supaul,Chattapur,CHHATAPUR,BALUA,4,BALUA,BALUA,Deep Tubew ell,Ground Water,Balua Bazar,PWS,Balua Bishanpur PWS(0006323262)
121,Supaul,Chattapur,CHHATAPUR,BALUA,5,BALUA,BALUA,Deep Tubew ell,Ground Water,Community House Balua 06,HandPump,Chhatapur Anganw adi Scheme(0005084771)
122,Supaul,Chattapur,CHHATAPUR,BALUA,6,BALUA,BALUA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Anganw adi Scheme(0005084771)
123,Supaul,Chattapur,CHHATAPUR,BALUA,7,BALUA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Bhimnagar Hp(0004739154)
124,Supaul,Chattapur,CHHATAPUR,BALUA,8,BALUA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
125,Supaul,Chattapur,CHHATAPUR,BALUA,9,BALUA,BRAHAMAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Nc/Pc Scheme For Marauna Block(0004528896)
126,Supaul,Chattapur,CHHATAPUR,BALUA,10,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,Late Lalit Naryan Misra,PWS,Balua Bishanpur PWS(0006323262)
127,Supaul,Chattapur,CHHATAPUR,BALUA,11,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
128,Supaul,Chattapur,CHHATAPUR,BALUA,12,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
129,Supaul,Chattapur,CHHATAPUR,BALUA,13,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Iron Aff. Habitation Scheme(0005567025)
130,Supaul,Chattapur,CHHATAPUR,BALUA,14,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530960)
131,Supaul,Chattapur,CHHATAPUR,BALUA,15,BALUA,BRAHAMAN TOLA I,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004530960)
132,Supaul,Chattapur,CHHATAPUR,BALUA,16,BALUA,BRAHAMAN TOLA II,Deep Tubew ell,Ground Water,Durga Mandir,PWS,Balua Bishanpur PWS(0006323262)
133,Supaul,Chattapur,CHHATAPUR,BALUA,17,BALUA,BRAHAMAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001952200)
134,Supaul,Chattapur,CHHATAPUR,BALUA,18,BALUA,BRAHAMAN TOLA II,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001952200)
135,Supaul,Chattapur,CHHATAPUR,BALUA,19,BALUA,BRAHAMAN TOLA II,Shallow Tubew ell,Ground Water,Shanti Devi,HandPump,NC/PC(0001963319)
136,Supaul,Chattapur,CHHATAPUR,BALUA,20,BALUA,BRAHAMAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963319)
137,Supaul,Chattapur,CHHATAPUR,BALUA,21,BALUA,BRAHAMAN TOLA II,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,NC/PC(0001963319)
138,Supaul,Chattapur,CHHATAPUR,BALUA,22,BALUA,BRAHAMAN TOLA III,Shallow Tubew ell,Ground Water,,HandPump,NC/PC(0001963323)
