id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
49,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,6,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Lala Tola Ramdev Ram,HandPump,Majhauliya MMCY Scheme(0006500782)
50,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,7,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Bazar,HandPump,Majhauliya MMCY Sheme(0006500855)
51,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,8,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Pipal Chauk,HandPump,Majhauliya MMCY Sheme(0006500855)
52,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,9,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Near Mandir,HandPump,Majhauliya MMCY Sheme(0006500855)
53,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,10,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Bich Toli,HandPump,Majhauliya MMCY Sheme(0006500855)
54,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,11,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Uttari Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
55,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,12,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Dakhin Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
56,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,13,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Purbi Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
57,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,14,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Pachim Toli,HandPump,Majhauliya MMCY Sheme(0006500855)
58,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,15,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Brahma Sthan,HandPump,Majhauliya MMCY Sheme(0006500855)
59,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,16,AUNHAR HEKH B,AHWAR SEKH,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545545)
60,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,17,AUNHAR SHEKH,BARI TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Majhauliya Scheme(0007065609)
61,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,18,AUNHAR SHEKH,BARI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545546)
62,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,19,AUNHAR SHEKH,DOME TOLI,Deep tubewell,Ground Water,Near Dom Toli,HandPump,Majhauliya Scheme(0007065609)
63,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,20,AUNHAR SHEKH,DOME TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545547)
